"GEOCODIGO_MUNICIPIO","NOME_MUNICIPIO","long_neg","lat_neg","Municipio_Codigo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","long","lat"
"1302553","MANAQUIRI","-60.458881","-3.42908","1302553 MANAQUIRI","1","1","1","1","6","4","3","1","10","8","8","5","60.458881","3.42908"
"1302603","MANAUS","-60.023335","-3.134691","1302603 MANAUS","56","171","513","734","629","441","625","1087","1865","3337","2425","1092","60.023335","3.134691"
"1302702","MANICORÉ","-61.299248","-5.813205","1302702 MANICORÉ","1","1","1","1","1","10","1","3","21","10","24","18","61.299248","5.813205"
"1302801","MARAÃ","-65.574284","-1.866437","1302801 MARAÃ","1","1","7","1","3","9","16","22","31","7","12","2","65.574284","1.866437"
"1302900","MAUÉS","-57.715034","-3.386428","1302900 MAUÉS","1","4","8","21","9","7","2","2","12","17","15","9","57.715034","3.386428"
"1303007","NHAMUNDÁ","-56.71677","-2.188984","1303007 NHAMUNDÁ","1","1","1","1","1","1","2","1","3","3","3","1","56.71677","2.188984"
"1303106","NOVA OLINDA DO NORTE","-59.093074","-3.887593","1303106 NOVA OLINDA DO NORTE","1","1","1","1","1","8","20","14","16","36","24","16","59.093074","3.887593"
"1303205","NOVO AIRÃO","-60.948811","-2.623432","1303205 NOVO AIRÃO","1","1","1","3","3","9","17","12","17","6","4","7","60.948811","2.623432"
"1303304","NOVO ARIPUANÃ","-60.377046","-5.122669","1303304 NOVO ARIPUANÃ","3","2","3","1","2","12","1","6","16","4","2","2","60.377046","5.122669"
"1303403","PARINTINS","-56.736292","-2.627053","1303403 PARINTINS","1","4","1","1","1","19","9","47","161","62","69","55","56.736292","2.627053"
"1303502","PAUINI","-67.002097","-7.714044","1303502 PAUINI","1","1","1","2","1","1","4","10","33","50","35","24","67.002097","7.714044"
"1303536","PRESIDENTE FIGUEIREDO","-60.025647","-2.058429","1303536 PRESIDENTE FIGUEIREDO","1","1","1","2","6","5","4","7","37","18","19","12","60.025647","2.058429"
"1303569","RIO PRETO DA EVA","-59.704738","-2.693302","1303569 RIO PRETO DA EVA","1","1","1","1","1","1","1","1","7","15","13","5","59.704738","2.693302"
"1303601","SANTA ISABEL DO RIO NEGRO","-65.020023","-0.416695","1303601 SANTA ISABEL DO RIO NEGRO","1","1","1","1","2","1","3","18","31","18","20","6","65.020023","0.416695"
"1303700","SANTO ANTÔNIO DO IÇÁ","-67.946485","-3.107486","1303700 SANTO ANTÔNIO DO IÇÁ","1","1","1","1","4","4","6","2","3","4","3","1","67.946485","3.107486"
"1303809","SÃO GABRIEL DA CACHOEIRA","-67.083643","-0.136463","1303809 SÃO GABRIEL DA CACHOEIRA","1","1","1","1","8","1","2","43","30","16","16","18","67.083643","0.136463"
"1303908","SÃO PAULO DE OLIVENÇA","-68.944853","-3.46651","1303908 SÃO PAULO DE OLIVENÇA","1","12","6","4","1","2","6","1","19","11","7","4","68.944853","3.46651"
"1303957","SÃO SEBASTIÃO DO UATUMÃ","-57.870346","-2.570153","1303957 SÃO SEBASTIÃO DO UATUMÃ","1","1","1","1","1","2","1","1","1","1","5","5","57.870346","2.570153"
"1304005","SILVES","-58.214801","-2.836427","1304005 SILVES","1","1","1","1","1","7","1","2","2","2","1","1","58.214801","2.836427"
"1304062","TABATINGA","-69.946244","-4.231884","1304062 TABATINGA","3","2","1","1","1","2","6","3","136","92","75","36","69.946244","4.231884"
"1304104","TAPAUÁ","-63.187095","-5.624224","1304104 TAPAUÁ","1","1","2","1","1","1","1","24","1","4","7","1","63.187095","5.624224"
"1304203","TEFÉ","-64.70842","-3.348372","1304203 TEFÉ","1","2","1","21","22","15","35","28","47","28","24","11","64.70842","3.348372"
"1304237","TONANTINS","-67.776482","-2.861091","1304237 TONANTINS","1","1","1","1","1","3","3","3","28","14","1","3","67.776482","2.861091"
"1304260","UARINI","-65.155346","-2.983609","1304260 UARINI","1","1","1","1","1","1","3","1","8","1","6","1","65.155346","2.983609"
"1304302","URUCARÁ","-57.759828","-2.536612","1304302 URUCARÁ","1","1","1","4","1","1","1","5","9","11","2","1","57.759828","2.536612"
"1304401","URUCURITUBA","-58.159641","-3.134633","1304401 URUCURITUBA","1","1","1","1","1","1","3","1","6","23","7","2","58.159641","3.134633"
"1400027","AMAJARI","-61.42059","3.652118","1400027 AMAJARI","1","2","1","1","1","1","4","1","6","2","3","2","61.42059","3.652118"
"1400050","ALTO ALEGRE","-61.314022","2.993823","1400050 ALTO ALEGRE","1","1","1","1","1","2","2","1","1","5","5","1","61.314022","2.993823"
"1400100","BOA VISTA","-60.670533","2.816682","1400100 BOA VISTA","1","1","2","1","15","79","222","133","549","545","288","138","60.670533","2.816682"
"1400159","BONFIM","-59.878007","3.350289","1400159 BONFIM","1","1","1","1","1","1","1","6","8","1","11","4","59.878007","3.350289"
"1400175","CANTÁ","-60.602063","2.607666","1400175 CANTÁ","1","1","1","1","1","1","1","4","9","8","2","1","60.602063","2.607666"
"1400209","CARACARAÍ","-61.149177","1.803871","1400209 CARACARAÍ","1","2","1","2","6","3","1","4","22","16","14","3","61.149177","1.803871"
"1400233","CAROEBE","-59.69481","0.872675","1400233 CAROEBE","1","1","1","1","1","1","1","4","3","1","5","3","59.69481","0.872675"
"1400282","IRACEMA","-61.052259","2.168215","1400282 IRACEMA","1","1","1","1","1","1","2","2","10","7","1","3","61.052259","2.168215"
"1400308","MUCAJAÍ","-60.911519","2.479772","1400308 MUCAJAÍ","1","1","1","1","1","1","1","5","1","8","7","7","60.911519","2.479772"
"1400407","NORMANDIA","-59.635206","3.882978","1400407 NORMANDIA","1","1","1","1","1","2","2","1","1","5","2","2","59.635206","3.882978"
"1400456","PACARAIMA","-61.147306","4.475259","1400456 PACARAIMA","1","1","3","1","1","2","2","4","11","10","14","11","61.147306","4.475259"
"1400472","RORAINÓPOLIS","-60.42506","0.937195","1400472 RORAINÓPOLIS","1","1","1","1","19","6","4","8","14","23","22","10","60.42506","0.937195"
"1400506","SÃO JOÃO DA BALIZA","-59.906044","0.947157","1400506 SÃO JOÃO DA BALIZA","1","1","1","1","1","1","1","1","1","10","25","3","59.906044","0.947157"
"1400605","SÃO LUIZ","-60.028267","1.018112","1400605 SÃO LUIZ","1","1","1","1","1","1","2","2","6","8","5","1","60.028267","1.018112"
"1400704","UIRAMUTÃ","-60.195716","4.58544","1400704 UIRAMUTÃ","1","1","1","1","1","1","1","1","8","6","4","1","60.195716","4.58544"
"1500107","ABAETETUBA","-48.884404","-1.72347","1500107 ABAETETUBA","1","1","1","1","1","1","1","1","1","1","1","1","48.884404","1.72347"
"1500131","ABEL FIGUEIREDO","-48.396762","-4.951391","1500131 ABEL FIGUEIREDO","1","1","1","1","13","32","15","131","162","85","53","43","48.396762","4.951391"
"1500206","ACARÁ","-48.200456","-1.963437","1500206 ACARÁ","1","1","1","1","1","1","1","2","3","3","2","1","48.200456","1.963437"
"1500305","AFUÁ","-50.391428","-0.159172","1500305 AFUÁ","1","1","1","1","1","1","1","1","4","8","1","1","50.391428","0.159172"
"1500347","ÁGUA AZUL DO NORTE","-50.485275","-6.804949","1500347 ÁGUA AZUL DO NORTE","1","1","1","1","1","1","1","1","1","6","2","1","50.485275","6.804949"
"1500404","ALENQUER","-54.740862","-1.951398","1500404 ALENQUER","1","1","1","1","1","1","2","20","19","18","15","8","54.740862","1.951398"
"1500503","ALMEIRIM","-52.576835","-1.527339","1500503 ALMEIRIM","1","1","1","1","1","1","1","1","2","2","1","1","52.576835","1.527339"
"1500602","ALTAMIRA","-52.214376","-3.20566","1500602 ALTAMIRA","1","1","4","28","3","12","28","12","19","28","13","13","52.214376","3.20566"
"1500701","ANAJÁS","-49.945001","-0.984451","1500701 ANAJÁS","1","1","1","1","1","1","1","1","1","1","1","13","49.945001","0.984451"
"1500800","ANANINDEUA","-48.372067","-1.368714","1500800 ANANINDEUA","1","1","1","4","5","10","16","29","48","84","248","199","48.372067","1.368714"
"1500859","ANAPU","-51.201622","-3.476105","1500859 ANAPU","1","1","1","1","1","2","1","6","22","7","2","2","51.201622","3.476105"
"1500909","AUGUSTO CORRÊA","-46.641646","-1.022921","1500909 AUGUSTO CORRÊA","1","1","1","3","2","1","2","2","4","1","3","1","46.641646","1.022921"
"1500958","AURORA DO PARÁ","-47.556175","-2.129376","1500958 AURORA DO PARÁ","1","1","1","1","1","1","8","3","20","8","9","4","47.556175","2.129376"
"1501006","AVEIRO","-55.330734","-3.605595","1501006 AVEIRO","1","1","1","1","1","1","1","1","1","1","1","1","55.330734","3.605595"
"1501105","BAGRE","-50.221987","-1.889808","1501105 BAGRE","1","1","1","1","1","1","1","1","4","7","11","1","50.221987","1.889808"
"1501204","BAIÃO","-49.672753","-2.791962","1501204 BAIÃO","1","1","1","1","1","1","2","1","7","7","2","6","49.672753","2.791962"
"1501253","BANNACH","-50.406047","-7.351072","1501253 BANNACH","1","1","1","1","1","1","1","1","6","8","1","3","50.406047","7.351072"
"1501303","BARCARENA","-48.627073","-1.505767","1501303 BARCARENA","1","1","1","1","22","1","1","4","27","28","17","17","48.627073","1.505767"
"1501402","BELÉM","-48.487826","-1.459845","1501402 BELÉM","1","15","16","9","49","93","546","762","609","655","458","242","48.487826","1.459845"
"1501451","BELTERRA","-54.942675","-2.64902","1501451 BELTERRA","1","1","1","1","1","1","1","1","2","1","2","2","54.942675","2.64902"
